,Country,Date,Cloudiness,Humidity,Latitude,Longitude,Max Temp (F),Wind Speed (mph)
0,US,1561659510,1,29,39.31,-74.98,93.0,11.41
1,RU,1561659510,0,57,70.62,147.9,45.85,11.14
2,EC,1561659494,20,69,-0.74,-90.35,78.8,20.8
3,CA,1561659554,75,86,69.44,-133.03,41.0,3.36
4,CN,1561659570,100,49,39.63,118.17,76.99,6.13
5,BR,1561659570,47,60,-2.92,-39.92,87.25,10.2
6,NA,1561659570,0,69,-18.06,13.84,55.21,4.03
7,PF,1561659506,90,82,-23.12,-134.97,74.65,19.17
8,AU,1561659523,33,84,-23.58,149.07,58.09,18.1
9,CA,1561659571,75,62,60.82,-115.79,51.8,5.82
10,KZ,1561659571,0,83,49.68,83.3,58.99,3.13
11,TZ,1561659572,75,77,-3.37,36.69,69.8,7.94
12,US,1561659512,1,31,43.97,-111.68,73.99,12.75
13,CA,1561659299,75,53,49.72,-86.95,71.6,8.05
14,SA,1561659507,98,33,21.43,39.83,92.29,8.05
15,AU,1561659514,48,98,-33.64,115.35,44.01,26.19
16,DZ,1561659559,0,4,27.87,-0.29,114.8,8.05
17,BR,1561659521,64,80,-5.2,-35.46,80.59,24.07
18,VG,1561659335,40,66,18.42,-64.62,87.8,10.29
19,US,1561659499,90,83,19.71,-155.08,80.01,8.05
20,AR,1561659310,40,74,-54.81,-68.31,30.2,24.16
21,CL,1561659217,75,86,-42.48,-73.76,41.0,10.29
22,CA,1561659573,90,93,50.7,-127.42,53.6,8.05
23,CL,1561659293,20,58,-53.16,-70.91,32.0,16.11
24,US,1561659493,20,69,20.89,-156.47,80.6,4.7
25,SB,1561659561,100,86,-10.46,161.92,78.61,11.9
26,CN,1561659574,100,99,46.32,132.2,57.91,6.24
27,RU,1561659307,100,94,64.42,-173.23,47.29,4.18
28,CL,1561659574,20,67,-29.95,-71.34,57.2,9.17
29,NZ,1561659492,91,94,-46.19,168.86,40.09,5.17
30,US,1561659492,0,54,37.17,-99.65,91.0,15.99
31,MR,1561659518,0,57,20.93,-17.03,77.0,21.92
32,ZA,1561659513,0,50,-33.59,26.89,62.01,5.99
33,MX,1561659417,40,43,22.89,-109.91,96.01,11.41
34,RU,1561659575,40,70,69.2,33.45,48.2,4.47
35,ZA,1561659497,12,55,-34.42,19.24,60.01,8.99
36,CA,1561659489,1,57,45.36,-73.48,84.99,19.46
